price_range;Brand;Model;RAM;Storage;Color
médio;Xiaomi;9 Pro;6;128;Green
muito alto;Apple;iPhone 13;4;1000;Black
baixo;Apple;iPhone 7;2;32;Pink
muito alto;Nokia;5.4;4;64;Black
alto;OnePlus;7;6;8;Blue
alto;OnePlus;7T;8;128;Blue
médio;OPPO;X2;8;128;White
muito alto;Samsung;Galaxy A12;6;64;Blue
baixo;Samsung;Galaxy A21s;3;32;Blue
médio;Samsung;Galaxy S20;12;128;White
baixo;Xiaomi;Redmi Note 10;4;128;Gray
baixo;Nokia;C2;2;32;Blue
muito alto;Asus;ZenFone 9;8;128;Black
baixo;Alcatel;1B;2;32;Black
baixo;BQ;Aquaris C;6;2;Black
médio;Xiaomi;Shark 4;8;128;Black
médio;Blackview;A100;6;128;Blue
baixo;Blackview;A100;6;128;Black
médio;Blackview;A100;6;128;Pink
baixo;Blackview;A100;6;128;Green
baixo;Blackview;A55;3;16;Blue
baixo;Blackview;A55;3;16;Black
baixo;Blackview;A55;3;16;Green
baixo;Blackview;A55;4;64;Black
baixo;Blackview;A70;3;32;Black
baixo;Blackview;A80;2;16;Black
baixo;Blackview;A80;2;16;Red
baixo;Blackview;A90;4;64;Blue
baixo;Blackview;A90;4;64;Black
baixo;Blackview;A90;4;64;Orange
médio;Blackview;BL5000;8;128;Black
médio;Blackview;BV6300;6;128;Green
médio;Blackview;BV9900E;6;128;Black
baixo;Blackview;BV4900;6;4;Orange
alto;Crosscall;Action-X5;4;64;Black
alto;Crosscall;CORE-X5;4;64;Black
baixo;Cubot;J20;2;16;Green
baixo;Cubot;King Kong 5;4;32;Black
baixo;Cubot;King Kong Mini 2;4;64;Red
baixo;Cubot;Max 3;4;64;Green
baixo;Cubot;Note 30;4;64;Black
baixo;Cubot;Note 30;4;64;Green
baixo;Cubot;Note 8;2;16;Black
baixo;Cubot;Note 9;3;32;Black
baixo;Cubot;Note 9;3;32;Green
baixo;Cubot;P50;6;128;Black
baixo;Cubot;P50;6;128;Green
baixo;Cubot;P60;6;128;Black
baixo;Cubot;Pocket;4;64;Green
baixo;Doro;8050;6;16;Gray
alto;Fairphone;3+;6;4;Black
baixo;Gigaset;GS195LS;2;32;Black
baixo;Google;Pixel 3a;4;64;Black
médio;Hammer;Construction;6;128;Black
baixo;Hammer;Energy 2;3;32;Orange
baixo;Hammer;Energy 2;3;32;Black
alto;Hammer;Explorer;3;32;Orange
baixo;Hammer;Iron 3;3;32;Orange
baixo;Hammer;Iron 3;3;32;Black
baixo;Hammer;Extreme;3;32;Orange
baixo;Hammer;Extreme;3;32;Black
baixo;Hammer;Iron 4;4;32;Orange
baixo;Hammer;Iron 4;4;32;Gray
alto;Hammer;MyPhone Blade;6;128;Black
médio;Honor;20;4;128;Black
alto;Honor;70;8;128;Black
médio;Honor;70;8;128;Green
médio;Honor;Magic4;6;128;Blue
muito alto;Honor;Magic4;8;256;Turquoise
médio;Honor;Magic5;6;128;Black
médio;Honor;View 20;6;128;Blue
médio;Honor;X7;4;128;Blue
médio;Honor;X7a;4;128;Black
médio;Honor;X7a;4;128;Blue
baixo;Honor;X7a;4;128;Silver
médio;Honor;X8;6;128;Blue
alto;Huawei;Mate 30;8;256;Black
alto;Huawei;Nova 5T;6;128;Black
alto;Huawei;Nova 5T;6;128;Blue
médio;Huawei;P Smart 2020;4;128;Green
médio;Huawei;P Smart;4;128;Black
médio;Huawei;P Smart;4;128;Green
baixo;Huawei;P Smart;3;64;Black
médio;Huawei;P20;4;128;Black
alto;Huawei;P30;6;256;Crystal
médio;Huawei;P30;8;128;Blue
muito alto;Huawei;P30;8;256;Silver
alto;Huawei;P40;8;128;Gold
alto;Huawei;P40;8;128;Black
alto;Huawei;P40;8;128;Silver
alto;Huawei;P40;6;128;Black
médio;Huawei;P40;6;128;Silver
médio;Huawei;P40;6;128;Pink
alto;Huawei;P40;8;256;Gold
baixo;Huawei;Y6;2;32;Brown
baixo;Huawei;Y6;2;32;Black
alto;LG;V40 ThinQ;6;128;Blue
baixo;Maxcom;MS572;3;32;Black
médio;Motorola;Edge 20;8;128;Gray
médio;Motorola;Edge 20;6;128;Gray
médio;Motorola;Moto G31;4;128;Blue
médio;Motorola;Moto G32;4;128;Gray
baixo;Motorola;Moto G41;4;128;Black
médio;Motorola;Moto G41;6;128;Black
médio;Motorola;Moto G42;4;128;Pink
médio;Motorola;Moto G51;4;128;Blue
médio;Motorola;Moto G62;6;128;Gray
alto;Motorola;Razr 5G;8;256;Black
baixo;Nokia;C20;2;32;Blue
baixo;Nokia;C21;2;32;Gray
baixo;Nokia;C31;4;64;Gray
baixo;Nokia;G10;3;32;Blue
médio;Nokia;X10;4;128;Green
baixo;OPPO;A16;3;32;Blue
baixo;OPPO;A16;4;64;Black
baixo;OPPO;A77;4;64;Blue
médio;OPPO;A77;6;128;Black
alto;OPPO;Reno6;12;256;Gray
alto;OnePlus;9;8;128;Blue
alto;OnePlus;9 Pro;12;256;Black
médio;OPPO;A54s;4;128;Blue
médio;OPPO;A94;8;128;Blue
alto;OPPO;X2;12;512;Orange
alto;OPPO;Reno4;8;128;Blue
médio;OPPO;Reno4;8;128;White
médio;OPPO;Reno4;8;128;Black
baixo;POCO;M5;4;64;Green
médio;Xiaomi;M5s;4;128;Black
médio;POCO;X4;8;128;Silver
baixo;Qubo;P-668;4;64;Blue
baixo;Qubo;X-626;2;32;Blue
baixo;Realme;6;6;128;Blue
médio;Realme;6;8;128;Blue
baixo;Realme;6i;4;128;Green
médio;Realme;8;6;128;Silver
médio;Realme;9;6;128;White
médio;Realme;9;8;128;White
médio;Realme;9;8;128;Gold
baixo;Realme;C11;2;32;Gray
baixo;Realme;C11;2;32;Blue
baixo;Realme;C11;4;64;Gray
baixo;Realme;C21;4;64;Black
baixo;Realme;C21;4;64;Blue
baixo;Realme;C31;3;32;Silver
baixo;Realme;C33;4;64;Gold
baixo;Realme;C35;4;64;Black
médio;Realme;C55;6;128;Black
médio;Realme;GT;8;128;Silver
alto;Realme;GT Neo 3;8;256;Blue
alto;Realme;GT Neo 3;8;256;White
médio;Realme;Narzo 30;4;128;Blue
alto;Realme;X50 Pro;8;256;Green
baixo;SPC;Discovery;3;128;Blue
baixo;SPC;Smart 2;1;16;Gray
baixo;SPC;Smart 3;3;32;Gray
baixo;SPC;Smart Max 2;6;16;Turquoise
baixo;Samsung;Galaxy A03;4;64;Black
médio;Samsung;Galaxy A12;6;128;Blue
médio;Samsung;Galaxy A13;4;128;Blue
médio;Samsung;Galaxy A31;4;128;Black
médio;Samsung;Galaxy A33;6;128;White
médio;Samsung;Galaxy A42;4;128;Gray
alto;Samsung;Galaxy A51;4;128;Silver
médio;Samsung;Galaxy A51;6;128;Pink
médio;Samsung;Galaxy A52s;6;128;Green
alto;Samsung;Galaxy A53;8;256;Orange
médio;Samsung;Galaxy A70;6;128;Pink
alto;Samsung;A90;6;128;Black
médio;Samsung;Galaxy M32;6;128;White
médio;Samsung;Galaxy M53;6;128;Brown
alto;Samsung;Galaxy Note 10;6;256;Pink
alto;Samsung;Galaxy Note 20;8;256;Gray
alto;Samsung;Note 9;6;128;Black
alto;Samsung;S10+;6;128;Green
alto;Samsung;S10+;6;512;White
muito alto;Samsung;Galaxy S20;12;128;Gray
alto;Samsung;Galaxy S20;8;128;Gray
alto;Samsung;Galaxy S21;8;128;Gray
médio;Samsung;Galaxy S21;6;128;Green
alto;Samsung;Galaxy S22;6;256;White
alto;Samsung;Galaxy S22;8;128;Pink
alto;Samsung;Galaxy S22;8;256;White
muito alto;Samsung;Galaxy S22;12;512;Black
muito alto;Samsung;Galaxy S22;12;512;Green
alto;Samsung;Galaxy S23;6;256;Green
alto;Samsung;Galaxy S23;6;256;Black
muito alto;Samsung;Galaxy S23;6;1000;Green
alto;Samsung;Z Flip;8;256;Black
alto;Samsung;Galaxy Z Flip3;8;128;White
alto;Samsung;Galaxy Z Flip3;8;128;Black
alto;Samsung;Galaxy Z Flip3;8;256;White
muito alto;Samsung;Galaxy Z Flip3;8;256;Black
alto;Samsung;Galaxy Z Flip4;8;128;Gray
muito alto;Samsung;Galaxy Z Flip4;8;128;Purple
muito alto;Samsung;Galaxy Z Flip4;8;128;Pink
alto;Samsung;Galaxy Z Flip4;8;256;Pink
muito alto;Samsung;Galaxy Z Flip4;8;512;Blue
muito alto;Samsung;Galaxy Z Flip4;8;512;Gray
muito alto;Samsung;Galaxy Z Fold3;6;512;Black
baixo;Sony;Xperia L1;6;16;White
baixo;Swissvoice;S510-M;2;16;Black
médio;TCL;10;6;128;Blue
médio;TCL;10;6;128;Gray
alto;TCL;10;6;128;Gray
alto;TCL;20;6;256;Gray
baixo;TCL;205;2;32;Blue
baixo;TCL;205;2;32;Gray
médio;TCL;20L;4;128;Black
baixo;TCL;30E;3;64;Blue
alto;Ulefone;11T;8;256;Black
baixo;Ulefone;Armor 8;4;64;Black
baixo;Ulefone;X5;3;32;Red
baixo;Ulefone;X5 Pro;4;64;Orange
baixo;Ulefone;X5 Pro;4;64;Red
baixo;Ulefone;X7;4;32;Black
baixo;Ulefone;Armor X9;4;64;Black
baixo;Ulefone;Note 7;6;16;Green
baixo;Ulefone;Note 8P;2;16;Orange
alto;Ulefone;Power Armor 13;8;256;Black
alto;Vivo;V23;12;256;Black
muito alto;Vivo;X60 Pro;12;256;Blue
baixo;Vivo;Y01;3;32;Blue
baixo;Vivo;Y21;4;64;Blue
baixo;Vivo;Y21;4;64;White
médio;Vivo;Y33s;8;128;Black
médio;Vivo;Y52;4;128;Black
médio;Xiaomi;11T;8;128;White
alto;Xiaomi;11T;8;256;White
alto;Xiaomi;11T;8;256;Gray
alto;Xiaomi;11T Pro;8;128;White
muito alto;Xiaomi;11T Pro;8;128;Gray
muito alto;Xiaomi;12;8;256;Purple
alto;Xiaomi;12T;8;128;Blue
alto;Xiaomi;12T;8;128;Silver
baixo;Xiaomi;Mi 10T;6;128;Black
alto;Xiaomi;Mi 10T;6;128;Blue
médio;Xiaomi;Mi 10T;6;128;Pink
médio;Xiaomi;Mi 11;8;128;Black
alto;Xiaomi;Mi 11;12;256;White
médio;Xiaomi;Mi 11i;8;128;Silver
médio;Xiaomi;Mi 9;6;128;Blue
médio;Xiaomi;Mi 9;6;128;White
médio;Xiaomi;Mi 9;6;128;Gray
alto;Xiaomi;Mi MIX 3;6;128;Black
alto;Xiaomi;Mi Mix 2;8;128;White
médio;Xiaomi;Mi Note 10;6;128;Black
alto;Xiaomi;Pack Mi 10;8;128;Gray
médio;Xiaomi;PocoPhone F3;6;128;Blue
baixo;Xiaomi;Redmi 10;4;64;White
baixo;Xiaomi;Redmi 10;4;64;Green
baixo;Xiaomi;Redmi 10A;4;128;Silver
baixo;Xiaomi;Redmi 9C;2;32;Blue
baixo;Xiaomi;Redmi 9C;2;32;Orange
baixo;Xiaomi;Redmi 9C;4;128;Blue
baixo;Xiaomi;Redmi 9C;3;64;Blue
médio;Xiaomi;Redmi Note 10;4;128;Blue
muito alto;Xiaomi;Redmi Note 10;4;128;Gray
médio;Xiaomi;Redmi Note 10;4;128;Green
médio;Xiaomi;Redmi Note 10;6;128;Red
médio;Xiaomi;Note 10S;6;128;Blue
médio;Xiaomi;11 Pro;8;128;White
alto;Xiaomi;11 Pro;6;128;Blue
médio;Xiaomi;11 Pro;6;128;Green
baixo;Xiaomi;Redmi Note 9;3;64;Green
baixo;Xiaomi;Note 9S;4;64;Blue
baixo;ZTE;Blade A31;2;32;Gray
baixo;ZTE;Blade A5;2;32;Blue
baixo;ZTE;Blade A5;2;32;Black
baixo;ZTE;Blade A51;2;32;Gray
baixo;ZTE;Blade A71;3;64;Gray
baixo;ZTE;Blade V30;4;128;Gray
baixo;Realme;7;8;128;White
baixo;Realme;C21;3;32;Blue
baixo;Alcatel;1SE;6;64;Gray
alto;Apple;iPhone 11;4;256;Yellow
alto;Apple;11 Pro;4;512;Green
muito alto;Apple;iPhone 13;4;1000;Gold
muito alto;Apple;iPhone 13;4;1000;Green
baixo;Apple;iPhone 6s;2;32;Gold
baixo;Apple;iPhone 6s;2;32;Pink
baixo;Apple;iPhone 6s;2;32;Gray
baixo;Apple;iPhone 6s;2;32;Silver
baixo;Apple;iPhone 7;2;128;Gold
alto;Crosscall;X4;4;64;Black
alto;Lenovo;Legion Phone Duel;12;256;Black
alto;Nokia;8.3;8;128;Black
alto;OPPO;X5 Pro;12;256;White
alto;OnePlus;6T;6;8;Black
alto;OnePlus;7;6;8;Gray
muito alto;OPPO;A91;8;128;Blue
baixo;OPPO;Reno2 Z;8;128;White
médio;Realme;9;6;128;Gold
baixo;Samsung;Galaxy A10;2;32;Red
médio;Samsung;Galaxy A32;4;128;Blue
baixo;Samsung;Galaxy A50;4;128;Pink
médio;Samsung;Galaxy A52;6;128;Purple
médio;Samsung;Galaxy A52;6;128;White
médio;Samsung;A80;8;128;Black
médio;Samsung;Galaxy Note 10;6;128;Red
médio;Samsung;Note 9;6;128;Purple
médio;Samsung;Galaxy S10;6;128;Black
médio;Samsung;Galaxy S10;8;128;Blue
médio;Samsung;Galaxy S10;8;128;White
alto;Samsung;Galaxy S22;6;512;Red
muito alto;Samsung;Galaxy S22;6;512;Black
baixo;Samsung;Galaxy S8;6;64;Gray
muito alto;Samsung;Galaxy Z Flip3;6;128;White
muito alto;Samsung;Galaxy Z Flip3;6;128;Green
muito alto;Samsung;Galaxy Z Flip3;6;256;Purple
alto;Samsung;Galaxy Z Flip3;8;128;Green
muito alto;Xiaomi;11 Lite;8;128;White
médio;Xiaomi;Mi Note 10;6;128;Purple
baixo;Xiaomi;X3;6;128;Blue
médio;Xiaomi;Pocophone F2;6;128;Blue
baixo;Xiaomi;Redmi 9;3;32;Gray
baixo;Xiaomi;9T;4;64;Green
médio;Xiaomi;Redmi Note 8;4;128;Black
médio;Xiaomi;Redmi Note 8T;4;128;Blue
médio;Xiaomi;Redmi Note 9;4;128;White
médio;Xiaomi;Note 9S;6;128;Gray
muito alto;Apple;iPhone 15;;128;Black
alto;Google;Pixel 8a;8;128;Black
alto;Xiaomi;Redmi Note 13 Pro+;12;512;White
alto;Motorola;Edge 50 Pro;12;512;Purple
muito alto;Apple;iPhone 15 Pro Max;4;1024;White
médio;Nothing;Phone (2) Black Edition;8;128;Blue
alto;Apple;iPhone 15 Pro;8;512;Yellow
alto;Google;Pixel Fold;6;256;Blue
alto;OnePlus;Nord CE4;12;256;Purple
médio;Google;Pixel Fold;8;128;Orange
muito alto;Google;Pixel 8 Pro;8;1024;Blue
muito alto;Nothing;Phone (2a) Special;6;1024;Gray
alto;Realme;Realme 12+;6;512;Orange
alto;OnePlus;OnePlus 12;6;512;Black
muito alto;Realme;Realme Narzo 70;12;1024;Gray
muito alto;Xiaomi;Redmi Note 13;8;1024;Yellow
muito alto;Honor;Honor 200 Lite;4;1024;Red
muito alto;OnePlus;OnePlus 12;4;1024;White
alto;Xiaomi;Poco X6 Pro;12;256;Blue
alto;Motorola;Moto G24;6;256;Black
médio;OPPO;Find X7;8;128;Yellow
muito alto;OnePlus;Nord CE4;12;512;Blue
médio;Google;Pixel 7a;4;128;Yellow
alto;Xiaomi;Xiaomi 14;4;256;Blue
alto;Realme;Realme Narzo 70;4;512;White
alto;Motorola;Edge 50 Fusion;4;256;Orange
muito alto;Nothing;Phone (2) Black Edition;4;1024;Red
médio;Xiaomi;Redmi Note 13;4;128;Blue
muito alto;Realme;Realme 12+;4;1024;Black
muito alto;OnePlus;Nord CE4;12;512;Orange
alto;Nothing;Phone (2) Black Edition;12;256;Green
alto;Honor;Honor 200 Lite;4;512;Gray
médio;OPPO;Find X7;4;128;Green
médio;Realme;Realme 12+;8;128;Yellow
muito alto;OnePlus;Nord CE4;8;1024;Purple
alto;Samsung;Galaxy S24;8;128;Onyx Black
alto;Samsung;Galaxy S24;8;256;Onyx Black
muito alto;Samsung;Galaxy S24 Plus;12;256;Onyx Black
muito alto;Samsung;Galaxy S24 Ultra;12;256;Titanium Black
muito alto;Samsung;Galaxy S24 Ultra;12;512;Titanium Black
médio;Samsung;Galaxy A56 5G;8;128;Awesome Graphite
muito alto;Xiaomi;Xiaomi 14;12;512;Black
alto;Xiaomi;Xiaomi 14T Pro;12;256;Black
alto;Google;Pixel 8a;8;128;Bay
muito alto;Google;Pixel 8a;8;128;Obsidian
alto;Samsung;Galaxy A56 5G;8;256;Awesome Lightgray
alto;Google;Pixel 8a;8;128;Obsidian
muito alto;Google;Pixel 8 Pro;12;512;Obsidian
alto;Samsung;Galaxy S24;8;128;Marble Gray
alto;Xiaomi;Xiaomi 14;12;512;Black
alto;Samsung;Galaxy A56 5G;12;256;Awesome Lightgray
muito alto;Google;Pixel 8a;8;128;Bay
muito alto;Google;Pixel 8 Pro;12;128;Obsidian
alto;Samsung;Galaxy A56 5G;8;128;Awesome Lightgray
alto;Xiaomi;Xiaomi 14;12;256;Black
muito alto;Google;Pixel 8 Pro;12;512;Porcelain
alto;Samsung;Galaxy A56 5G;12;128;Awesome Lightgray
muito alto;Samsung;Galaxy S24 Ultra;12;1024;Titanium Gray
muito alto;Google;Pixel 8 Pro;12;256;Porcelain
muito alto;Xiaomi;Xiaomi 14;12;256;Green
muito alto;Apple;iPhone 15 Pro;8;512;Black Titanium
muito alto;Samsung;Galaxy S24 Ultra;12;512;Titanium Gray
alto;Samsung;Galaxy A56 5G;8;128;Awesome Graphite
alto;Samsung;Galaxy A56 5G;12;256;Awesome Graphite
alto;Samsung;Galaxy A56 5G;12;128;Awesome Graphite
alto;OnePlus;12;12;512;Flowy Emerald
muito alto;Samsung;Galaxy S24 Ultra;12;1024;Titanium Black
muito alto;Apple;iPhone 15 Pro;8;1024;Blue Titanium
muito alto;Apple;iPhone 15 Pro;8;256;Blue Titanium
alto;Samsung;Galaxy S24 Plus;12;256;Onyx Black
alto;Samsung;Galaxy S24;8;256;Marble Gray
muito alto;Google;Pixel 8 Pro;12;128;Porcelain
muito alto;Xiaomi;Xiaomi 14T Pro;12;512;Black
alto;Samsung;Galaxy A56 5G;8;256;Awesome Graphite
muito alto;Apple;iPhone 15 Pro;8;512;Blue Titanium
muito alto;Apple;iPhone 15 Pro;8;128;Black Titanium
muito alto;Apple;iPhone 15 Pro;8;1024;Black Titanium
alto;OnePlus;12;12;256;Silky Black
muito alto;Samsung;Galaxy S24 Ultra;12;256;Titanium Gray
